#page_id	source_id	path	title	page_class	symbol_count	kind	symbol	declaration_origin	header	library	os_versions_raw	declaration_status	duplicate_of	source_url
ms863346	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863346.html	SDP Search and Record Generator Sample (Windows CE .NET 4.2)	concept_or_overview	0			none				first_line_not_a_declaration		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863346(v=msdn.10)
ms863347	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863347.html	setsockopt (Bluetooth) (Windows CE .NET 4.2)	symbol_page	1	function	setsockopt (Bluetooth)	none	Winsock2.h.	Ws2.lib.	Windows CE .NET 4.0 and later.	candidate_mismatch:setsockopt		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863347(v=msdn.10)
ms863348	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863348.html	socket (Bluetooth) (Windows CE .NET 4.2)	symbol_page	1	function	socket (Bluetooth)	none	Winsock2.h.	Ws2.lib.	Windows CE .NET 4.0 and later.	candidate_mismatch:socket		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863348(v=msdn.10)
ms863349	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863349.html	Virtual COM Port Creation Sample (Windows CE .NET 4.2)	concept_or_overview	0			none				no_candidate		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863349(v=msdn.10)
ms863350	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863350.html	Virtual COM Port Sample (Windows CE .NET 4.2)	concept_or_overview	0			none				unrecognised_declaration_form		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863350(v=msdn.10)
ms863351	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863351.html	Winsock Extensions (Windows CE .NET 4.2)	concept_or_overview	0			none				statement_keyword		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863351(v=msdn.10)
ms863352	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863352.html	Winsock Interface Sample (Windows CE .NET 4.2)	concept_or_overview	0			none				unrecognised_declaration_form		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863352(v=msdn.10)
ms863353	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863353.html	Winsock Options Sample (Windows CE .NET 4.2)	concept_or_overview	0			none				no_candidate		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863353(v=msdn.10)
ms863354	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863354.html	BASEBAND_CONNECTION (Windows CE .NET 4.2)	symbol_page	1	struct	BASEBAND_CONNECTION	first_code_block+glued_identifier	Bt_api.h.		Windows CE .NET 4.2 and later.	matched_glued		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863354(v=msdn.10)
ms863355	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863355.html	Bluetooth Modem Gateway Settings (Windows CE .NET 4.2)	concept_or_overview	0			none				no_candidate		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863355(v=msdn.10)
ms863356	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863356.html	BTHINQUIRYRESULT (Windows CE .NET 4.2)	symbol_page	1	struct	BTHINQUIRYRESULT	first_code_block	Ws2bth.h.		Windows CE .NET 4.0 and later.	matched		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863356(v=msdn.10)
ms863357	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863357.html	BTHNS_INQUIRYBLOB (Windows CE .NET 4.2)	symbol_page	1	struct	BTHNS_INQUIRYBLOB	first_code_block+glued_identifier	Bthsdpdef.h.		Windows CE .NET 4.0 and later.	matched_glued		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863357(v=msdn.10)
ms863358	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863358.html	BTHNS_RESTRICTIONBLOB (Windows CE .NET 4.2)	symbol_page	1	struct	BTHNS_RESTRICTIONBLOB	first_code_block+glued_identifier	Bthsdpdef.h.		Windows CE .NET 4.0 and later.	matched_glued		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863358(v=msdn.10)
ms863359	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863359.html	BTHNS_SETBLOB (Windows CE .NET 4.2)	symbol_page	1	struct	BTHNS_SETBLOB	first_code_block+glued_identifier	Bthsdpdef.h.		Windows CE .NET 4.0 and later.	matched_glued		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863359(v=msdn.10)
ms863360	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863360.html	BTH_LOCAL_VERSION (Windows CE .NET 4.2)	symbol_page	1	struct	BTH_LOCAL_VERSION	first_code_block+glued_identifier	Ws2bth.h.		Windows CE .NET 4.0 and later.	matched_glued		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863360(v=msdn.10)
ms863361	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863361.html	BTH_REMOTE_NAME (Windows CE .NET 4.2)	symbol_page	1	struct	BTH_REMOTE_NAME	first_code_block+glued_identifier	Ws2bth.h.		Windows CE .NET 4.0 and later.	matched_glued		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863361(v=msdn.10)
ms863362	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863362.html	BTH_REMOTE_VERSION (Windows CE .NET 4.2)	symbol_page	1	struct	BTH_REMOTE_VERSION	first_code_block+glued_identifier	Ws2bth.h.		Windows CE .NET 4.0 and later.	matched_glued		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863362(v=msdn.10)
ms863363	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863363.html	BTH_SOCKOPT_SECURITY (Windows CE .NET 4.2)	symbol_page	1	struct	BTH_SOCKOPT_SECURITY	first_code_block+glued_identifier	Ws2bth.h.		Windows CE .NET 4.0 and later.	matched_glued		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863363(v=msdn.10)
ms863364	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863364.html	ISdpNodeContainer::AppendNode (Windows CE .NET 4.2)	symbol_page	1	interface_method	AppendNode	first_code_block	Bthapi.h, Bthapi.idl.	Btdrt.lib.	Windows CE .NET 4.0 and later.	matched		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863364(v=msdn.10)
ms863365	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863365.html	ISdpNodeContainer::CreateFromStream (Windows CE .NET 4.2)	symbol_page	1	interface_method	CreateFromStream	first_code_block	Bthapi.h, Bthapi.idl.	Btdrt.lib.	Windows CE .NET 4.0 and later.	matched		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863365(v=msdn.10)
ms863366	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863366.html	ISdpNodeContainer::CreateStream (Windows CE .NET 4.2)	symbol_page	1	interface_method	CreateStream	first_code_block	Bthapi.h, Bthapi.idl.	Btdrt.lib.	Windows CE .NET 4.0 and later.	matched		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863366(v=msdn.10)
ms863367	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863367.html	ISdpNodeContainer::GetNode (Windows CE .NET 4.2)	symbol_page	1	interface_method	GetNode	first_code_block	Bthapi.h, Bthapi.idl.	Btdrt.lib.	Windows CE .NET 4.0 and later.	matched		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863367(v=msdn.10)
ms863368	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863368.html	ISdpNodeContainer::GetNodeCount (Windows CE .NET 4.2)	symbol_page	1	interface_method	GetNodeCount	none	Bthapi.h, Bthapi.idl.	Btdrt.lib.	Windows CE .NET 4.0 and later.	unrecognised_declaration_form		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863368(v=msdn.10)
ms863369	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863369.html	ISdpNodeContainer::GetNodeStringData (Windows CE .NET 4.2)	symbol_page	1	interface_method	GetNodeStringData	none	Bthapi.h, Bthapi.idl.	Btdrt.lib.	Windows CE .NET 4.0 and later.	unrecognised_declaration_form		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863369(v=msdn.10)
ms863370	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863370.html	ISdpNodeContainer::GetStreamSize (Windows CE .NET 4.2)	symbol_page	1	interface_method	GetStreamSize	first_code_block	Bthapi.h, Bthapi.idl.	Btdrt.lib.	Windows CE .NET 4.0 and later.	matched		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863370(v=msdn.10)
ms863371	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863371.html	ISdpNodeContainer::GetType (Windows CE .NET 4.2)	symbol_page	1	interface_method	GetType	first_code_block	Bthapi.h, Bthapi.idl.	Btdrt.lib.	Windows CE .NET 4.0 and later.	matched		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863371(v=msdn.10)
ms863372	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863372.html	ISdpNodeContainer:IUnknown (Windows CE .NET 4.2)	concept_or_overview	0			none	Bthapi.h, Bthapi.idl.	Btdrt.lib.	Windows CE .NET 4.0 and later.	no_candidate		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863372(v=msdn.10)
ms863373	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863373.html	ISdpNodeContainer::LockContainer (Windows CE .NET 4.2)	symbol_page	1	interface_method	LockContainer	none	Bthapi.h, Bthapi.idl.	Btdrt.lib.	Windows CE .NET 4.0 and later.	unrecognised_declaration_form		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863373(v=msdn.10)
ms863374	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms863374.html	ISdpNodeContainer::SetNode (Windows CE .NET 4.2)	symbol_page	1	interface_method	SetNode	none	Bthapi.h, Bthapi.idl.	Btdrt.lib.	Windows CE .NET 4.0 and later.	unrecognised_declaration_form		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms863374(v=msdn.10)
