CE30_Copyright	Copyright
_wcesdk_DateTime_SetSystemtime	DateTime_SetSystemtime
_wcesdk_DeactivateDevice	DeactivateDevice
_wcesdk_Dead_Gateway_Detection	Dead Gateway Detection
_wcesdk_Dealing_with_Low_Memory_Situations	Managing Low-Memory Situations
_wcesdk_DefaultInstall	DefaultInstall
_wcesdk_Defining_Calendar_Formats	Defining Calendar Formats (Windows CE 3.0 User Interface Services)
_wcesdk_Defining_a_Character_Set	Defining a Character Set (Windows CE 3.0 User Interface Services)
_wcesdk_Defining_a_Menu_Template	Defining a Menu Template (Windows CE 3.0 User Interface Services)
_wcesdk_Defining_an_Accelerator_Table	Defining an Accelerator Table (Windows CE 3.0 User Interface Services)
_wcesdk_Delayed_Acknowledgments	Delayed Acknowledgments
_wcesdk_DeleteAndRenameFile	DeleteAndRenameFile
_wcesdk_DeleteUrlCacheEntry	DeleteUrlCacheEntry
_wcesdk_DeleteUrlCacheGroup	DeleteUrlCacheGroup
_wcesdk_Deleting_Database_Information	Deleting Database Information
_wcesdk_Deleting_a_Database_Volume	Deleting a Database Volume
_wcesdk_Deleting_a_File_or_Directory	Deleting a File or a Directory
_wcesdk_Deleting_a_Phone_Book_Entry	Deleting a Phone-Book Entry
_wcesdk_Deleting_a_Registry_Key_or_Value	Deleting a Registry Key or Value
_wcesdk_Deleting_a_Security_Context	Deleting a Security Context
_wcesdk_Deleting_an_Entry_to_the_IP_Forward_Table	Deleting an Entry to the IP Forward Table
_wcesdk_DeregisterDevice	DeregisterDevice
_wcesdk_Designing_Menus	Designing Menus
_wcesdk_Designing_Windows_and_Dialog_Boxes	Designing Windows and Dialog Boxes
_wcesdk_Designing_a_User_Interface_for_Windows_CE	Designing a User Interface for Windows CE
_wcesdk_Desktop_Registry_Structure	Desktop Registry Structure
_wcesdk_DestinationDirs	DestinationDirs
_wcesdk_Destroying_a_Window	Destroying a Window (Windows CE 3.0 User Interface Services)
_wcesdk_Detecting_a_Successful_Setup	Detecting a Successful Setup
_wcesdk_Determining_Available_Disk_Space	Determining Available Disk Space
_wcesdk_Determining_Available_Network_Resources	Determining Available Network Resources
_wcesdk_Determining_the_IP_Address_in_a_PPP_Connection	Determining the IP Address in a PPP Connection
_wcesdk_Developing_a_MIB	Developing a MIB
_wcesdk_Developing_a_Winsock_Application	Developing a Winsock Application
_wcesdk_DeviceName	DeviceName
_wcesdk_Device_Suspension_Issues	Device Suspension Issues
_wcesdk_DhcpOptions	DhcpOptions
_wcesdk_DhcpSendOptions	DhcpSendOptions
_wcesdk_Differences_Between_the_Windows_CE_and_Windows_NT_Implementations_of_TAPI	Differences Between the Windows CE and Windows NT Implementations of TAPI
_wcesdk_Differences_between_Windows_CE_and_Windows_2000_PPTP_Implementations	Differences between Windows CE and Windows 2000 PPTP Implementations
_wcesdk_Differences_between_Windows_CE_and_Windows_NT_PPP_Implementations	Differences between Windows CE and Windows NT PPP Implementations
_wcesdk_Digital_Certificates	Digital Certificates
_wcesdk_Direct_Card_Access_Functions	Direct Card Access Functions
_wcesdk_Disconnecting_a_RAS_Connection	Disconnecting a RAS Connection
_wcesdk_Displaying_Information	Displaying Information (Windows CE 3.0 User Interface Services)
_wcesdk_Displaying_a_Window	Displaying a Window (Windows CE 3.0 User Interface Services)
_wcesdk_DriverEntry	DriverEntry
_wcesdk_Duplicate_IP_Address_Detection	Duplicate IP Address Detection
_wcesdk_ECHO	ECHO
_wcesdk_ELEMDESC	ELEMDESC
_wcesdk_ERASE	ERASE
_wcesdk_Editing_Labels	Editing Labels (Windows CE 3.0 User Interface Services)
_wcesdk_Editing_the_Device_Configuration	Editing the Device Configuration
_wcesdk_EnableAddressTranslation	EnableAddressTranslation
_wcesdk_EnableDhcpAllocator	EnableDhcpAllocator
_wcesdk_EnableDnsProxy	EnableDnsProxy
_wcesdk_EnableEUDC	EnableEUDC
_wcesdk_EnablePacketFiltering	EnablePacketFiltering
_wcesdk_Enabling_a_Partnership_in_Windows_CE	Enabling a Partnership in Windows CE
_wcesdk_Encoding_and_Decoding_a_Certificate_Context	Encoding and Decoding a Certificate Context
_wcesdk_Encrypting_and_Decrypting_Data	Encrypting and Decrypting Data
_wcesdk_Encrypting_and_Decrypting_Simultaneously	Encrypting and Decrypting Simultaneously
_wcesdk_Encryption_and_Decryption	Encryption and Decryption
_wcesdk_Ending_the_Spelling_Session	Ending the Spelling Session
_wcesdk_Enumerating_Databases_and_Database_Volumes	Enumerating Databases and Database Volumes
_wcesdk_Enumerating_Phone_Book_Entries	Enumerating Phone-Book Entries
_wcesdk_Enumerating_Registry_Keys	Enumerating Registry Keys
_wcesdk_Establishing_a_Connection	Establishing a Connection
_wcesdk_Establishing_a_Modem_Connection	Establishing a Modem Connection
_wcesdk_Establishing_a_Network_Connection	Establishing a Network Connection
_wcesdk_Establishing_a_PPTP_Connection	Establishing a PPTP Connection
_wcesdk_EthChangeFilterAddresses	EthChangeFilterAddresses
_wcesdk_EthCreateFilter	EthCreateFilter
_wcesdk_EthDeleteFilter	EthDeleteFilter
_wcesdk_EthDeleteFilterOpenAdapter	EthDeleteFilterOpenAdapter
_wcesdk_EthFilterAdjust	EthFilterAdjust
_wcesdk_EthFilterIndicateReceive	EthFilterIndicateReceive
_wcesdk_EthFilterIndicateReceiveComplete	EthFilterIndicateReceiveComplete
_wcesdk_EthNoteFilterOpenAdapter	EthNoteFilterOpenAdapter
_wcesdk_EthNumberOfOpenFilterAddresses	EthNumberOfOpenFilterAddresses
_wcesdk_EthQueryGlobalFilterAddresses	EthQueryGlobalFilterAddresses
_wcesdk_EthQueryOpenFilterAddresses	EthQueryOpenFilterAddresses
_wcesdk_EthShouldAddressLoopBack	EthShouldAddressLoopBack
_wcesdk_Event_Handling	Event Handling (Windows CE 3.0 User Interface Services)
_wcesdk_Examples_of_CEUTIL_Functions	Examples of CEUTIL Functions
_wcesdk_Exchanging_Cryptographic_Keys	Exchanging Cryptographic Keys
_wcesdk_Exchanging_Public_Keys	Exchanging Public Keys
_wcesdk_Exchanging_Session_Keys	Exchanging Session Keys
_wcesdk_Expires	Expires
_wcesdk_Extension_Agent_Architecture	Extension-Agent Architecture
_wcesdk_Extension_Agent_Implementor_APIs	Extension-Agent Implementor APIs
_wcesdk_External_Modem_Registry_Key_Sample	External Modem Registry Key Sample
_wcesdk_FSDMGR_CreateFileHandle	FSDMGR_CreateFileHandle
_wcesdk_FSDMGR_CreateSearchHandle	FSDMGR_CreateSearchHandle
_wcesdk_FSDMGR_DeregisterVolume	FSDMGR_DeregisterVolume
_wcesdk_FSDMGR_GetDiskInfo	FSDMGR_GetDiskInfo
_wcesdk_FSDMGR_GetVolumeName	FSDMGR_GetVolumeName
_wcesdk_FSDMGR_ReadDisk	FSDMGR_ReadDisk
_wcesdk_FSDMGR_ReadDiskEx	FSDMGR_ReadDiskEx
_wcesdk_FSDMGR_RegisterVolume	FSDMGR_RegisterVolume
_wcesdk_FSDMGR_WriteDisk	FSDMGR_WriteDisk
_wcesdk_FSDMGR_WriteDiskEx	FSDMGR_WriteDiskEx
_wcesdk_FSD_BUFFER_INFO_str	FSD_BUFFER_INFO
_wcesdk_FSD_DISK_INFO_str	FSD_DISK_INFO
_wcesdk_FSD_MountDisk	FSD_MountDisk
_wcesdk_FSD_SCATTER_GATHER_INFO_str	FSD_SCATTER_GATHER_INFO
_wcesdk_FSD_SCATTER_GATHER_RESULTS_str	FSD_SCATTER_GATHER_RESULTS
_wcesdk_FSD_UnmountDisk	FSD_UnmountDisk
_wcesdk_FUNCKIND	FUNCKIND
_wcesdk_FailRetryWaitMS	FailRetryWaitMS
_wcesdk_File_Filters	File Filters
_wcesdk_File_and_Directory_Management_Functions	File and Directory Management Functions
_wcesdk_File_naming_Limitations	File-naming Limitations
_wcesdk_Files__Databases__and_Persistent_Storage	Files, Databases, and Persistent Storage
_wcesdk_FindCloseUrlCache	FindCloseUrlCache
_wcesdk_FindFirstUrlCacheEntry	FindFirstUrlCacheEntry
_wcesdk_FindFirstUrlCacheEntryEx	FindFirstUrlCacheEntryEx
_wcesdk_FindNextUrlCacheEntry	FindNextUrlCacheEntry
_wcesdk_FindNextUrlCacheEntryEx	FindNextUrlCacheEntryEx
_wcesdk_Flow_Control_Using_ICMP	Flow Control Using ICMP
_wcesdk_Flushing_the_Registry	Flushing the Registry
_wcesdk_Format	Format
_wcesdk_Forwarding_Calls	Forwarding Calls
_wcesdk_Frequently_Asked_Questions_About_DHCP_on_Windows_CE	Frequently Asked Questions About DHCP on Windows CE
_wcesdk_FtpCommand	FtpCommand
_wcesdk_Functions	Functions
_wcesdk_GOTO	GOTO
_wcesdk_GWES_Component_Model	GWES Component Model (Windows CE 3.0 User Interface Services)
_wcesdk_General_Architecture_of_TAPI_20	General Architecture of TAPI 2.0
_wcesdk_General_Content_Guidelines	General Content Guidelines
_wcesdk_Generating_Cryptographic_Keys	Generating Cryptographic Keys
_wcesdk_Generating_a_Class_Identifier	Generating a Class Identifier
_wcesdk_GenericModem_Key	GenericModem Key
_wcesdk_GetKeyboardStatus	GetKeyboardStatus
_wcesdk_GetStoreInformation	GetStoreInformation
_wcesdk_GetSystemPowerStatusEx	GetSystemPowerStatusEx
_wcesdk_GetSystemPowerStatusEx2	GetSystemPowerStatusEx2
_wcesdk_GetUrlCacheEntryInfo	GetUrlCacheEntryInfo
_wcesdk_GetUrlCacheEntryInfoEx	GetUrlCacheEntryInfoEx
_wcesdk_Getting_CSPs_Signed	Getting CSPs Signed
_wcesdk_HDHITTESTINFO	HDHITTESTINFO
_wcesdk_HDITEM	HDITEM
_wcesdk_HDLAYOUT	HDLAYOUT
_wcesdk_HDM_CREATEDRAGIMAGE	HDM_CREATEDRAGIMAGE
_wcesdk_HDM_DELETEITEM	HDM_DELETEITEM
_wcesdk_HDM_GETIMAGELIST	HDM_GETIMAGELIST
_wcesdk_HDM_GETITEM	HDM_GETITEM
_wcesdk_HDM_GETITEMCOUNT	HDM_GETITEMCOUNT
_wcesdk_HDM_GETITEMRECT	HDM_GETITEMRECT
_wcesdk_HDM_GETORDERARRAY	HDM_GETORDERARRAY
_wcesdk_HDM_INSERTITEM	HDM_INSERTITEM
_wcesdk_HDM_LAYOUT	HDM_LAYOUT
_wcesdk_HDM_ORDERTOINDEX	HDM_ORDERTOINDEX
_wcesdk_HDM_SETHOTDIVIDER	HDM_SETHOTDIVIDER
_wcesdk_HDM_SETIMAGELIST	HDM_SETIMAGELIST
_wcesdk_HDM_SETITEM	HDM_SETITEM
_wcesdk_HDM_SETORDERARRAY	HDM_SETORDERARRAY
_wcesdk_HDN_BEGINDRAG	HDN_BEGINDRAG
_wcesdk_HDN_ENDDRAG	HDN_ENDDRAG
_wcesdk_HDN_GETDISPINFO	HDN_GETDISPINFO
_wcesdk_HELP	HELP
_wcesdk_HREPLFLD	HREPLFLD
_wcesdk_HREPLITEM	HREPLITEM
_wcesdk_HTML_Topic_Example	HTML Topic Example
_wcesdk_HWXGUIDE_str	HWXGUIDE
_wcesdk_HWXRESULTS_str	HWXRESULTS
_wcesdk_Handling_Button_Messages	Handling Button Messages (Windows CE 3.0 User Interface Services)
_wcesdk_Handling_Drag_and_Drop_Messages	Handling Drag-and-Drop Messages (Windows CE 3.0 User Interface Services)
_wcesdk_Handling_Errors	Handling Errors
_wcesdk_Handling_IME_Window_Messages	Handling IME Window Messages (Windows CE 3.0 User Interface Services)
_wcesdk_Handling_Messages_for_Tab_Controls	Handling Messages for Tab Controls (Windows CE 3.0 User Interface Services)
_wcesdk_Handling_Notification_Messages	Handling Notification Messages (Windows CE 3.0 User Interface Services)
_wcesdk_Handling_Paint_Cycles_Drawing_Stages_and_Notification_Messages	Handling Paint Cycles, Drawing Stages, and Notification Messages (Windows CE 3.0 User Interface Services)
_wcesdk_Handling_RAPI_Errors	Handling RAPI Errors
_wcesdk_Handling_Scroll_Bar_Requests	Handling Scroll Bar Requests (Windows CE 3.0 User Interface Services)
_wcesdk_Handling_Tree_View_Messages	Handling Tree-View Messages (Windows CE 3.0 User Interface Services)
_wcesdk_Handling_a_Connection_Notification	Handling a Connection Notification
_wcesdk_Handling_and_Editing_Packet_Data	Handling and Editing Packet Data
_wcesdk_Handwriting_Recognition	Handwriting Recognition (Windows CE 3.0 User Interface Services)
_wcesdk_Hardware_Considerations	Hardware Considerations
_wcesdk_Hashing_and_Digital_Signature_Algorithms	Hashing and Digital Signature Algorithms
_wcesdk_Header_CreateDragImage	Header_CreateDragImage
_wcesdk_Header_DeleteItem	Header_DeleteItem
_wcesdk_Header_GetImageList	Header_GetImageList
_wcesdk_Header_GetItem	Header_GetItem
_wcesdk_Header_GetItemCount	Header_GetItemCount
_wcesdk_Header_GetItemRect	Header_GetItemRect
_wcesdk_Header_GetOrderArray	Header_GetOrderArray
_wcesdk_Header_InsertItem	Header_InsertItem
_wcesdk_Header_Layout	Header_Layout
_wcesdk_Header_OrderToIndex	Header_OrderToIndex
_wcesdk_Header_SetHotDivider	Header_SetHotDivider
_wcesdk_Header_SetImageList	Header_SetImageList
_wcesdk_Header_SetItem	Header_SetItem
_wcesdk_Header_SetOrderArray	Header_SetOrderArray
_wcesdk_Hierarchy_of_Trust	Hierarchy of Trust
_wcesdk_Host_Name_Resolution	Host Name Resolution
_wcesdk_Host_Name_Resolution_Using_Registry_Entries	Host Name Resolution Using Registry Entries
_wcesdk_Host_Name_Resolution_Using_a_DNS_Server	Host Name Resolution Using a DNS Server
_wcesdk_Host_Name_Resolution_Using_a_NetBIOS_Server	Host Name Resolution Using a NetBIOS Server
_wcesdk_Host_Resources_Device_Group	Host Resources Device Group
_wcesdk_Host_Resources_Installed_Software_Group	Host Resources Installed Software Group
_wcesdk_Host_Resources_MIB	Host Resources MIB
_wcesdk_Host_Resources_Running_Software_Group	Host Resources Running Software Group
_wcesdk_Host_Resources_Storage_Group	Host Resources Storage Group
_wcesdk_Host_Resources_System_Group	Host Resources System Group
_wcesdk_HttpEndRequest	HttpEndRequest
_wcesdk_HttpSendRequestEx	HttpSendRequestEx
_wcesdk_HwxALCPriority	HwxALCPriority
_wcesdk_HwxALCValid	HwxALCValid
_wcesdk_HwxConfig	HwxConfig
_wcesdk_HwxCreate	HwxCreate
_wcesdk_HwxDestroy	HwxDestroy
_wcesdk_HwxEndInput	HwxEndInput
_wcesdk_HwxGetResults	HwxGetResults
_wcesdk_HwxInput	HwxInput
_wcesdk_HwxProcess	HwxProcess
_wcesdk_HwxResultsAvailable	HwxResultsAvailable
_wcesdk_HwxSetAbort	HwxSetAbort
_wcesdk_HwxSetContext	HwxSetContext
_wcesdk_HwxSetGuide	HwxSetGuide
_wcesdk_HwxSetPartial	HwxSetPartial
_wcesdk_IAS_QUERY_str	IAS_QUERY
_wcesdk_IAS_SET_str	IAS_SET
_wcesdk_IAppointment_Cancel	IAppointment::Cancel
_wcesdk_IAppointment_ClearRecurrencePattern	IAppointment::ClearRecurrencePattern
_wcesdk_IAppointment_Copy	IAppointment::Copy
_wcesdk_IAppointment_Delete	IAppointment::Delete
_wcesdk_IAppointment_Display	IAppointment::Display
_wcesdk_IAppointment_GetRecurrencePattern	IAppointment::GetRecurrencePattern
_wcesdk_IAppointment_PropertyList	IAppointment Property Methods
_wcesdk_IAppointment_Save	IAppointment::Save
_wcesdk_IAppointment_Send	IAppointment::Send
_wcesdk_IAppointment_Unknown	IAppointment::Unknown
_wcesdk_ICMP_Group	ICMP Group
_wcesdk_ICS_Registry_Keys	ICS Registry Keys
_wcesdk_ICS_for_OEMs	ICS for OEMs
_wcesdk_ICeFileFilterOptions_IUnknown	ICeFileFilterOptions
_wcesdk_ICeFileFilterOptions_SetFilterOptions	ICeFileFilterOptions::SetFilterOptions
_wcesdk_ICeFileFilterSite_CloseDestinationFile	ICeFileFilterSite::CloseDestinationFile
_wcesdk_ICeFileFilterSite_CloseSourceFile	ICeFileFilterSite::CloseSourceFile
_wcesdk_ICeFileFilterSite_IUnknown	ICeFileFilterSite
_wcesdk_ICeFileFilterSite_OpenDestinationFile	ICeFileFilterSite::OpenDestinationFile
_wcesdk_ICeFileFilterSite_OpenSourceFile	ICeFileFilterSite::OpenSourceFile
_wcesdk_ICeFileFilterSite_ReportLoss	ICeFileFilterSite::ReportLoss
_wcesdk_ICeFileFilterSite_ReportProgress	ICeFileFilterSite::ReportProgress
_wcesdk_ICeFileFilter_FilterOptions	ICeFileFilter::FilterOptions
_wcesdk_ICeFileFilter_FormatMessage	ICeFileFilter::FormatMessage
_wcesdk_ICeFileFilter_IUnknown	ICeFileFilter
_wcesdk_ICeFileFilter_NextConvertFile	ICeFileFilter::NextConvertFile
_wcesdk_ICity_Copy	ICity::Copy
_wcesdk_ICity_Delete	ICity::Delete
_wcesdk_ICity_Display	ICity::Display
_wcesdk_ICity_PropertyList	ICity Property Methods
_wcesdk_ICity_Unknown	ICity::Unknown
_wcesdk_ICity__Save	ICity::Save
_wcesdk_IContact_Copy	IContact::Copy
_wcesdk_IContact_Delete	IContact::Delete
_wcesdk_IContact_Display	IContact::Display
_wcesdk_IContact_PropertyList	IContact Property Methods
_wcesdk_IContact_Save	IContact::Save
_wcesdk_IContact__Unknown	IContact::Unknown
_wcesdk_IDccManSink_IUnknown	IDccManSink
_wcesdk_IDccManSink_OnLogActive	IDccManSink::OnLogActive
_wcesdk_IDccManSink_OnLogAnswered	IDccManSink::OnLogAnswered
_wcesdk_IDccManSink_OnLogDisconnection	IDccManSink::OnLogDisconnection
_wcesdk_IDccManSink_OnLogError	IDccManSink::OnLogError
_wcesdk_IDccManSink_OnLogInactive	IDccManSink::OnLogInactive
_wcesdk_IDccManSink_OnLogIpAddr	IDccManSink::OnLogIpAddr
_wcesdk_IDccManSink_OnLogListen	IDccManSink::OnLogListen
_wcesdk_IDccManSink_OnLogTerminated	IDccManSink::OnLogTerminated
_wcesdk_IDccMan_Advise	IDccMan::Advise
_wcesdk_IDccMan_IUnknown	IDccMan
_wcesdk_IDccMan_ShowCommSettings	IDccMan::ShowCommSettings
_wcesdk_IDccMan_Unadvise	IDccMan::Unadvise
_wcesdk_IEnumReplItem	IEnumReplItem
_wcesdk_IEnumReplItem_Clone	IEnumReplItem::Clone
_wcesdk_IEnumReplItem_GetFolderHandle	IEnumReplItem::GetFolderHandle
_wcesdk_IEnumReplItem_Next	IEnumReplItem::Next
_wcesdk_IEnumReplItem_Reset	IEnumReplItem::Reset
_wcesdk_IEnumReplItem_Skip	IEnumReplItem::Skip
_wcesdk_IException_PropertyList	IException Property Methods
_wcesdk_IException_Unknown	IException::Unknown
_wcesdk_IExceptions_Item	IExceptions::Item
_wcesdk_IExceptions_PropertyList	IExceptions Property Methods
_wcesdk_IExceptions_Unknown	IExceptions::Unknown
_wcesdk_IF	IF
_wcesdk_IFolder_AddItemToInfraredFolder	IFolder::AddItemToInfraredFolder
_wcesdk_IFolder_PropertyList	IFolder Property Methods
_wcesdk_IFolder_ReceiveFromInfrared	IFolder::ReceiveFromInfrared
_wcesdk_IFolder_SendToInfrared	IFolder::SendToInfrared
_wcesdk_IFolder_Unknown	IFolder::Unknown
_wcesdk_IIMCallback	IIMCallback
_wcesdk_IIMCallback2	IIMCallback2
_wcesdk_IIMCallback2_SendAlternatives2	IIMCallback2::SendAlternatives2
_wcesdk_IIMCallback2_SendCharEvents	IIMCallback2::SendCharEvents
_wcesdk_IIMCallback2_SendString	IIMCallback2::SendString
_wcesdk_IIMCallback2_SendVirtualKey	IIMCallback2::SendVirtualKey
_wcesdk_IIMCallback2_SetImInfo	IIMCallback2::SetImInfo
_wcesdk_IIMCallback_SendCharEvents	IIMCallback::SendCharEvents
_wcesdk_IIMCallback_SendString	IIMCallback::SendString
_wcesdk_IIMCallback_SendVirtualKey	IIMCallback::SendVirtualKey
_wcesdk_IIMCallback_SetImInfo	IIMCallback::SetImInfo
_wcesdk_IInputMethod	IInputMethod
_wcesdk_IInputMethod2	IInputMethod2
_wcesdk_IInputMethod2_Deselect	IInputMethod2::Deselect
_wcesdk_IInputMethod2_GetImData	IInputMethod2::GetImData
_wcesdk_IInputMethod2_GetInfo	IInputMethod2::GetInfo
_wcesdk_IInputMethod2_Hiding	IInputMethod2::Hiding
_wcesdk_IInputMethod2_ReceiveSipInfo	IInputMethod2::ReceiveSipInfo
_wcesdk_IInputMethod2_RegisterCallback	IInputMethod2::RegisterCallback
_wcesdk_IInputMethod2_RegisterCallback2	IInputMethod2::RegisterCallback2
_wcesdk_IInputMethod2_Select	IInputMethod2::Select
_wcesdk_IInputMethod2_SetIMMActiveContext	IInputMethod2::SetIMMActiveContext
_wcesdk_IInputMethod2_SetImData	IInputMethod2::SetImData
_wcesdk_IInputMethod2_Showing	IInputMethod2::Showing
_wcesdk_IInputMethod2_UserOptionsDlg	IInputMethod2::UserOptionsDlg
_wcesdk_IInputMethod_Deselect	IInputMethod::Deselect
_wcesdk_IInputMethod_GetImData	IInputMethod::GetImData
_wcesdk_IInputMethod_GetInfo	IInputMethod::GetInfo
_wcesdk_IInputMethod_Hiding	IInputMethod::Hiding
_wcesdk_IInputMethod_ReceiveSipInfo	IInputMethod::ReceiveSipInfo
_wcesdk_IInputMethod_RegisterCallback	IInputMethod::RegisterCallback
_wcesdk_IInputMethod_Select	IInputMethod::Select
_wcesdk_IInputMethod_SetImData	IInputMethod::SetImData
_wcesdk_IInputMethod_Showing	IInputMethod::Showing
_wcesdk_IInputMethod_UserOptionsDlg	IInputMethod::UserOptionsDlg
_wcesdk_IMAGELISTDRAWPARAMS	IMAGELISTDRAWPARAMS
_wcesdk_IMENUMINFO	IMENUMINFO
_wcesdk_IME_Composition_String_Values	IME Composition String Values
_wcesdk_IME_Conversion_Mode_Values	IME Conversion Mode Values
_wcesdk_IME_Escapes	IME Escapes
_wcesdk_IME_Hot_Key_Identifiers	IME Hot Key Identifiers
_wcesdk_IME_Sentence_Mode_Values	IME Sentence Mode Values
_wcesdk_IMINFO_str	IMINFO
_wcesdk_INITCOMMONCONTROLSEX_str	INITCOMMONCONTROLSEX
_wcesdk_INLINEIMAGEINFO	INLINEIMAGEINFO
_wcesdk_INPUTCONTEXT	INPUTCONTEXT
_wcesdk_INTERNET_ASYNC_RESULT	INTERNET_ASYNC_RESULT
_wcesdk_INTERNET_CACHE_ENTRY_INFO	INTERNET_CACHE_ENTRY_INFO
_wcesdk_INTERNET_SCHEME	INTERNET_SCHEME
_wcesdk_INTERNET_STATUS_CALLBACK	INTERNET_STATUS_CALLBACK
_wcesdk_INVOKEKIND	INVOKEKIND
_wcesdk_IPARP_Extensions_for_IP_Multicasting	IP/ARP Extensions for IP Multicasting
_wcesdk_IPConfig	IPConfig
_wcesdk_IPOlItems_SetColumns	IPOlItems::SetColumns
_wcesdk_IPOlItems_Unknown	IPOlItems::Unknown
_wcesdk_IPOlRecipient_Resolve	IPOlRecipient::Resolve
_wcesdk_IPOlRecipient_Unknown	IPOlRecipient::Unknown
_wcesdk_IPOutlookApp	IPOutlookApp
_wcesdk_IPOutlookApp_CreateItem	IPOutlookApp::CreateItem
_wcesdk_IPOutlookApp_GetDefaultFolder	IPOutlookApp::GetDefaultFolder
_wcesdk_IPOutlookApp_GetItemFromOid	IPOutlookApp::GetItemFromOid
_wcesdk_IPOutlookApp_GetTimeZoneFromIndex	IPOutlookApp::GetTimeZoneFromIndex
_wcesdk_IPOutlookApp_GetTimeZoneInformationFromIndex	IPOutlookApp::GetTimeZoneInformationFromIndex
_wcesdk_IPOutlookApp_Logoff	IPOutlookApp::Logoff
_wcesdk_IPOutlookApp_Logon	IPOutlookApp::Logon
_wcesdk_IPOutlookApp_PropertyList	IPOutlookApp Property Methods
_wcesdk_IPOutlookApp_ReceiveFromInfrared	IPOutlookApp::ReceiveFromInfrared
_wcesdk_IPOutlookApp_SysFreeString	IPOutlookApp::SysFreeString
_wcesdk_IPOutlookItemCollection_Add	IPOutlookItemCollection::Add
_wcesdk_IPOutlookItemCollection_Find	IPOutlookItemCollection::Find
_wcesdk_IPOutlookItemCollection_FindNext	IPOutlookItemCollection::FindNext
_wcesdk_IPOutlookItemCollection_Item	IPOutlookItemCollection::Item
_wcesdk_IPOutlookItemCollection_PropertyList	IPOutlookItemCollection Property Methods
_wcesdk_IPOutlookItemCollection_Remove	IPOutlookItemCollection::Remove
_wcesdk_IPOutlookItemCollection_Restrict	IPOutlookItemCollection::Restrict
_wcesdk_IPOutlookItemCollection_Sort	IPOutlookItemCollection::Sort
_wcesdk_IPOutlookItemCollection__Unknown	IPOutlookItemCollection::Unknown
_wcesdk_IP_Group	IP Group
_wcesdk_IP_Helper_Code_Samples	IP Helper Code Samples
_wcesdk_IP_Multicasting	IP Multicasting
_wcesdk_IPegasusFileFilterSite_CloseDestinationFile	IPegasusFileFilterSite::CloseDestinationFile
_wcesdk_IPegasusFileFilterSite_CloseSourceFile	IPegasusFileFilterSite::CloseSourceFile
_wcesdk_IPegasusFileFilterSite_IUnknown	IPegasusFileFilterSite
_wcesdk_IPegasusFileFilterSite_OpenDestinationFile	IPegasusFileFilterSite::OpenDestinationFile
_wcesdk_IPegasusFileFilterSite_OpenSourceFile	IPegasusFileFilterSite::OpenSourceFile
_wcesdk_IPegasusFileFilterSite_ReportLoss	IPegasusFileFilterSite::ReportLoss
_wcesdk_IPegasusFileFilterSite_ReportProgress	IPegasusFileFilterSite::ReportProgress
_wcesdk_IPegasusFileFilter_FilterOptions	IPegasusFileFilter::FilterOptions
_wcesdk_IPegasusFileFilter_FormatMessage	IPegasusFileFilter::FormatMessage
_wcesdk_IPegasusFileFilter_IUnknown	IPegasusFileFilter
_wcesdk_IPegasusFileFilter_NextConvertFile	IPegasusFileFilter::NextConvertFile
_wcesdk_IRAPIStream	IRAPIStream
_wcesdk_IRAPIStream_GetRapiStat	IRAPIStream::GetRapiStat
_wcesdk_IRAPIStream_SetRapiStat	IRAPIStream::SetRapiStat
_wcesdk_IRecipient_PropertyList	IRecipient Property Methods
_wcesdk_IRecipient_Unknown	IRecipient::Unknown
_wcesdk_IRecipients_Add	IRecipients::Add
_wcesdk_IRecipients_Item	IRecipients::Item
_wcesdk_IRecipients_PropertyList	IRecipients Property Methods
_wcesdk_IRecipients_Remove	IRecipients::Remove
_wcesdk_IRecipients_Unknown	IRecipients::Unknown
_wcesdk_IRecurrencePattern_GetOccurrence	IRecurrencePattern::GetOccurrence
_wcesdk_IRecurrencePattern_PropertyList	IRecurrencePattern Property Methods
_wcesdk_IRecurrencePattern_Unknown	IRecurrencePattern::Unknown
_wcesdk_IReplNotify_GetWindow	IReplNotify::GetWindow
_wcesdk_IReplNotify_IUnknown	IReplNotify
_wcesdk_IReplNotify_OnItemCompleted	IReplNotify::OnItemCompleted
_wcesdk_IReplNotify_OnItemNotify	IReplNotify::OnItemNotify
_wcesdk_IReplNotify_QueryDevice	IReplNotify::QueryDevice
_wcesdk_IReplNotify_SetStatusText	IReplNotify::SetStatusText
_wcesdk_IReplObjHandler_DeleteObj	IReplObjHandler::DeleteObj
_wcesdk_IReplObjHandler_GetPacket	IReplObjHandler::GetPacket
_wcesdk_IReplObjHandler_IUnknown	IReplObjHandler
_wcesdk_IReplObjHandler_Reset	IReplObjHandler::Reset
_wcesdk_IReplObjHandler_SetPacket	IReplObjHandler::SetPacket
_wcesdk_IReplObjHandler_Setup	IReplObjHandler::Setup
_wcesdk_IReplStore_ActivateDialog	IReplStore::ActivateDialog
_wcesdk_IReplStore_BytesToObject	IReplStore::BytesToObject
_wcesdk_IReplStore_CompareItem	IReplStore::CompareItem
_wcesdk_IReplStore_CompareStoreIDs	IReplStore::CompareStoreIDs
_wcesdk_IReplStore_CopyObject	IReplStore::CopyObject
_wcesdk_IReplStore_FindFirstItem	IReplStore::FindFirstItem
_wcesdk_IReplStore_FindItemClose	IReplStore::FindItemClose
