# id	book	path	title
30ey6wfx	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/30ey6wfx.html	CryptographicException Class (System.Security.Cryptography)
30swa673	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/30swa673.html	SerialPort Class (System.IO.Ports)
34xswsd2	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/34xswsd2.html	HttpListener Class (System.Net)
3532ysw5	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/3532ysw5.html	HttpVersion Class (System.Net)
354e0act	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/354e0act.html	FtpWebRequest.Credentials Property  (System.Net)
3aa1ssxb	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/3aa1ssxb.html	WebRequest.ContentLength Property  (System.Net)
3adcxf3z	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/3adcxf3z.html	EditorBrowsableState Enumeration (System.ComponentModel)
3ae23aw4	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/3ae23aw4.html	HttpWebRequest.Expect Property  (System.Net)
3bdzys9w	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/3bdzys9w.html	Path Class (System.IO)
3c0yaz5a	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/3c0yaz5a.html	HashAlgorithm.Initialize Method  (System.Security.Cryptography)
3d25eh33	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/3d25eh33.html	SerialPort.Parity Property  (System.IO.Ports)
3dxyceca	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/3dxyceca.html	HttpWebRequest.KeepAlive Property  (System.Net)
3h06zzt2	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/3h06zzt2.html	SymmetricAlgorithm.IV Property  (System.Security.Cryptography)
3hs0ezh3	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/3hs0ezh3.html	DSAParameters Structure (System.Security.Cryptography)
3hxw804s	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/3hxw804s.html	SerialPort.WriteTimeout Property  (System.IO.Ports)
3hzs72s5	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/3hzs72s5.html	HttpListenerResponse.ContentType Property  (System.Net)
3k2y56bs	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/3k2y56bs.html	HttpWebRequest.ContinueDelegate Property  (System.Net)
3k7ax020	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/3k7ax020.html	File.ReadAllBytes Method  (System.IO)
3saad2h5	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/3saad2h5.html	File Class (System.IO)
3th9ze72	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/3th9ze72.html	HttpWebRequest.ContentLength Property  (System.Net)
3x8d2eck	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/3x8d2eck.html	HttpListenerRequest Class (System.Net)
3x9wbdze	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/3x9wbdze.html	Path.GetDirectoryName Method  (System.IO)
3y9887yx	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/3y9887yx.html	HttpWebRequest.AddRange Method (String, Int32) (System.Net)
