#shard	records	path
windowsx	6	devsurface/data/symbols/windowsx.jsonl
wingdi	156	devsurface/data/symbols/wingdi.jsonl
wininet	163	devsurface/data/symbols/wininet.jsonl
wininetui	4	devsurface/data/symbols/wininetui.jsonl
winldap	153	devsurface/data/symbols/winldap.jsonl
winnetwk	48	devsurface/data/symbols/winnetwk.jsonl
winnls	104	devsurface/data/symbols/winnls.jsonl
winnt	45	devsurface/data/symbols/winnt.jsonl
winreg	25	devsurface/data/symbols/winreg.jsonl
winscard	87	devsurface/data/symbols/winscard.jsonl
winsmcrd	22	devsurface/data/symbols/winsmcrd.jsonl
winsock	39	devsurface/data/symbols/winsock.jsonl
winsock2	178	devsurface/data/symbols/winsock2.jsonl
winuser	881	devsurface/data/symbols/winuser.jsonl
wmdrm10nd	8	devsurface/data/symbols/wmdrm10nd.jsonl
ws2bth	15	devsurface/data/symbols/ws2bth.jsonl
ws2spi	56	devsurface/data/symbols/ws2spi.jsonl
ws2tcpip	10	devsurface/data/symbols/ws2tcpip.jsonl
wtype	1	devsurface/data/symbols/wtype.jsonl
wtypes	15	devsurface/data/symbols/wtypes.jsonl
wzcsapi	21	devsurface/data/symbols/wzcsapi.jsonl
