#page_class	page_id	source_id	title	declaration_status	path
concept_or_overview	_Tools_PUSHBUTTON_Control	chm-windows-ce-3.0	PUSHBUTTON Control	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_PUSHBUTTON_Control.html
concept_or_overview	_Tools_RADIOBUTTON_Control	chm-windows-ce-3.0	RADIOBUTTON Control	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_RADIOBUTTON_Control.html
concept_or_overview	_Tools_RCDATA_Resource	chm-windows-ce-3.0	RCDATA Resource	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_RCDATA_Resource.html
concept_or_overview	_Tools_RTEXT_Control	chm-windows-ce-3.0	RTEXT Control	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_RTEXT_Control.html
concept_or_overview	_Tools_Resource_Definition_Statements	chm-windows-ce-3.0	Resource-Definition Statements	no_candidate	docs/chm/windows-ce-3.0/_Tools_Resource_Definition_Statements.html
concept_or_overview	_Tools_SCROLLBAR_Control	chm-windows-ce-3.0	SCROLLBAR Control	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_SCROLLBAR_Control.html
concept_or_overview	_Tools_STATE3_Control	chm-windows-ce-3.0	STATE3 Control	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_STATE3_Control.html
prose_page_code_fragment	_Tools_STRINGTABLE_Resource	chm-windows-ce-3.0	STRINGTABLE Resource	matched	docs/chm/windows-ce-3.0/_Tools_STRINGTABLE_Resource.html
concept_or_overview	_Tools_STYLE_Statement	chm-windows-ce-3.0	STYLE Statement	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_STYLE_Statement.html
concept_or_overview	_Tools_Sample_Resource_Definition_File	chm-windows-ce-3.0	Sample Resource-Definition File	first_line_not_a_declaration	docs/chm/windows-ce-3.0/_Tools_Sample_Resource_Definition_File.html
concept_or_overview	_Tools_User_Defined_Resource	chm-windows-ce-3.0	User-Defined Resource	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_User_Defined_Resource.html
concept_or_overview	_Tools_VERSIONINFO_Resource	chm-windows-ce-3.0	VERSIONINFO Resource	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_VERSIONINFO_Resource.html
concept_or_overview	_Tools_VERSION_Statement	chm-windows-ce-3.0	VERSION Statement	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_VERSION_Statement.html
concept_or_overview	_pbplatman_Code_Sample	chm-windows-ce-3.0	Code Sample	statement_keyword	docs/chm/windows-ce-3.0/_pbplatman_Code_Sample.html
concept_or_overview	_sdk_Error_Values	chm-windows-ce-3.0	Error Value	no_candidate	docs/chm/windows-ce-3.0/_sdk_Error_Values.html
concept_or_overview	_sdk_Formatting_Specifications	chm-windows-ce-3.0	Formatting Specifications	no_candidate	docs/chm/windows-ce-3.0/_sdk_Formatting_Specifications.html
concept_or_overview	_sdk_Net_Errors___Alphabetical_Order	chm-windows-ce-3.0	Net Errors - Alphabetical Order	no_candidate	docs/chm/windows-ce-3.0/_sdk_Net_Errors___Alphabetical_Order.html
concept_or_overview	_sdk_Net_Errors___Numerical_Order	chm-windows-ce-3.0	Net Errors - Numerical Order	no_candidate	docs/chm/windows-ce-3.0/_sdk_Net_Errors___Numerical_Order.html
concept_or_overview	_sdk_RAS_Error_Values	chm-windows-ce-3.0	RAS Error Values	no_candidate	docs/chm/windows-ce-3.0/_sdk_RAS_Error_Values.html
concept_or_overview	_sdk_System_Errors___Alphabetical_Order	chm-windows-ce-3.0	System Errors - Alphabetical Order	no_candidate	docs/chm/windows-ce-3.0/_sdk_System_Errors___Alphabetical_Order.html
concept_or_overview	_sdk_System_Errors___Numerical_Order	chm-windows-ce-3.0	System Errors - Numerical Order	no_candidate	docs/chm/windows-ce-3.0/_sdk_System_Errors___Numerical_Order.html
concept_or_overview	_tools_Common_Control_Parameters	chm-windows-ce-3.0	Common Control Parameters	first_line_not_a_declaration	docs/chm/windows-ce-3.0/_tools_Common_Control_Parameters.html
concept_or_overview	_tools_Common_Resource_Attributes	chm-windows-ce-3.0	Common Resource Attributes	no_candidate	docs/chm/windows-ce-3.0/_tools_Common_Resource_Attributes.html
concept_or_overview	_tools_StringFileInfo_Block	chm-windows-ce-3.0	StringFileInfo Block	first_line_not_a_declaration	docs/chm/windows-ce-3.0/_tools_StringFileInfo_Block.html
concept_or_overview	_tools_VarFileInfo_Block	chm-windows-ce-3.0	VarFileInfo Block	first_line_not_a_declaration	docs/chm/windows-ce-3.0/_tools_VarFileInfo_Block.html
concept_or_overview	_wcepb_Certifying_an_Application	chm-windows-ce-3.0	Certifying an Application	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Certifying_an_Application.html
concept_or_overview	_wcepb_Common_Controls	chm-windows-ce-3.0	Common Controls	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Common_Controls.html
concept_or_overview	_wcepb_Common_Dialog_Boxes	chm-windows-ce-3.0	Common Dialog Boxes	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Common_Dialog_Boxes.html
concept_or_overview	_wcepb_Control_Panel_Components	chm-windows-ce-3.0	Control Panel Components	statement_keyword	docs/chm/windows-ce-3.0/_wcepb_Control_Panel_Components.html
concept_or_overview	_wcepb_Controlling_the_On_to_Suspend_Power_State	chm-windows-ce-3.0	Controlling the On-to-Suspend Power State	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Controlling_the_On_to_Suspend_Power_State.html
